#,Drużyna,M,W,R,P,B,RB,P
1.,Legia Warszawa,30,19,3,8,63:30,33,60
2.,Piast Gliwice,30,16,5,9,36:26,10,53
3.,Śląsk Wrocław,30,13,10,7,42:33,9,49
4.,Lech Poznań,30,13,10,7,55:29,26,49
5.,Cracovia,30,14,4,12,39:29,10,46
6.,Pogoń Szczecin,30,12,9,9,29:31,-2,45
7.,Jagiellonia Białystok,30,12,8,10,41:39,2,44
8.,Lechia Gdańsk,30,11,10,9,40:42,-2,43
9.,Górnik Zabrze,30,10,11,9,39:38,1,41
10.,Raków Częstochowa,30,12,5,13,38:43,-5,41
11.,Zagłębie Lubin,30,10,8,12,49:46,3,38
12.,Wisła Płock,30,10,8,12,37:50,-13,38
13.,Wisła Kraków,30,10,5,15,37:47,-10,35
14.,Korona Kielce,30,8,6,16,21:37,-16,30
15.,Arka Gdynia,30,7,8,15,28:47,-19,29
16.,ŁKS Łódź,30,5,6,19,26:53,-27,21
